"skill_id","triggers","score","src_path"
"agents-md","agents;md","100","src/antigravity-awesome-skills/skills/agents-md/SKILL.md"
"antigravity-skill-orchestrator","antigravity;skill;orchestrator","100","src/antigravity-awesome-skills/skills/antigravity-skill-orchestrator/SKILL.md"
"audit-skills","audit;skills","100","src/antigravity-awesome-skills/skills/audit-skills/SKILL.md"
"documentation-generation-doc-generate","documentation;generation;doc;generate","100","src/antigravity-awesome-skills/skills/documentation-generation-doc-generate/SKILL.md"
"hierarchical-agent-memory","hierarchical;agent;memory","100","src/antigravity-awesome-skills/skills/hierarchical-agent-memory/SKILL.md"
"lint-and-validate","lint;and;validate","100","src/antigravity-awesome-skills/skills/lint-and-validate/SKILL.md"
"skill-authoring-workflow","skill;authoring;workflow","100","src/Product-Manager-Skills/skills/skill-authoring-workflow/SKILL.md"
"skill-check","skill;check","100","src/antigravity-awesome-skills/skills/skill-check/SKILL.md"
"skill-creator","skill;creator","100","src/antigravity-awesome-skills/skills/skill-creator/SKILL.md"
"skill-creator-ms","skill;creator;ms","100","src/antigravity-awesome-skills/skills/skill-creator-ms/SKILL.md"
"skill-developer","skill;developer","100","src/antigravity-awesome-skills/skills/skill-developer/SKILL.md"
"skill-improver","skill;improver","100","src/antigravity-awesome-skills/skills/skill-improver/SKILL.md"
"skill-installer","skill;installer","100","src/antigravity-awesome-skills/skills/skill-installer/SKILL.md"
"skill-router","skill;router","100","src/antigravity-awesome-skills/skills/skill-router/SKILL.md"
"skill-scanner","skill;scanner","100","src/antigravity-awesome-skills/skills/skill-scanner/SKILL.md"
"skill-seekers","skill;seekers","100","src/antigravity-awesome-skills/skills/skill-seekers/SKILL.md"
"skill-sentinel","skill;sentinel","100","src/antigravity-awesome-skills/skills/skill-sentinel/SKILL.md"
"skill-writer","skill;writer","100","src/antigravity-awesome-skills/skills/skill-writer/SKILL.md"
"verification-before-completion","verification;before;completion","100","src/antigravity-awesome-skills/skills/verification-before-completion/SKILL.md"
"writing-skills","writing;skills","100","src/antigravity-awesome-skills/skills/writing-skills/SKILL.md"
"docx","docx","5","src/skills/skills/docx/SKILL.md"
