skill_id	triggers	score	src_path
api-documentation	api;documentation	100	skills/api-documentation/SKILL.md
architecture-patterns	architecture;patterns	100	skills/architecture-patterns/SKILL.md
comfyui-gateway	comfyui;gateway	100	skills/comfyui-gateway/SKILL.md
file-uploads	file;uploads	100	skills/file-uploads/SKILL.md
graphql	graphql	100	skills/graphql/SKILL.md
microservices-patterns	microservices;patterns	100	skills/microservices-patterns/SKILL.md
nestjs-expert	nestjs;expert	100	skills/nestjs-expert/SKILL.md
nodejs-backend-patterns	nodejs;backend;patterns	100	skills/nodejs-backend-patterns/SKILL.md
odoo-rpc-api	odoo;rpc;api	100	skills/odoo-rpc-api/SKILL.md
openapi-spec-generation	openapi;spec;generation	100	skills/openapi-spec-generation/SKILL.md
sankhya-dashboard-html-jsp-custom-best-pratices	sankhya;dashboard;html;jsp;custom	100	skills/sankhya-dashboard-html-jsp-custom-best-pratices/SKILL.md
shopify-development	shopify;development	100	skills/shopify-development/SKILL.md
wordpress-plugin-development	wordpress;plugin;development	100	skills/wordpress-plugin-development/SKILL.md
api-design-principles	api;design;principles	17	skills/api-design-principles/SKILL.md
api-patterns	api;patterns	16	skills/api-patterns/SKILL.md
event-sourcing-architect	event;sourcing;architect	14	skills/event-sourcing-architect/SKILL.md
api-fuzzing-bug-bounty	api;fuzzing;bug;bounty	12	skills/api-fuzzing-bug-bounty/SKILL.md
backend-architect	backend;architect	12	skills/backend-architect/SKILL.md
odoo-woocommerce-bridge	odoo;woocommerce;bridge	12	skills/odoo-woocommerce-bridge/SKILL.md
uncle-bob-craft	uncle;bob;craft	10	skills/uncle-bob-craft/SKILL.md
api-documenter	api;documenter	8	skills/api-documenter/SKILL.md
api-endpoint-builder	api;endpoint;builder	8	skills/api-endpoint-builder/SKILL.md
cc-skill-backend-patterns	cc;skill;backend;patterns	8	skills/cc-skill-backend-patterns/SKILL.md
code-documentation-doc-generate	code;documentation;doc;generate	8	skills/code-documentation-doc-generate/SKILL.md
content-modeling-best-practices	content;modeling;best;practices	8	skills/content-modeling-best-practices/SKILL.md
monorepo-architect	monorepo;architect	8	skills/monorepo-architect/SKILL.md
multi-platform-apps-multi-platform	multi;platform;apps;multi;platform	8	skills/multi-platform-apps-multi-platform/SKILL.md
odoo-migration-helper	odoo;migration;helper	8	skills/odoo-migration-helper/SKILL.md
odoo-shopify-integration	odoo;shopify;integration	8	skills/odoo-shopify-integration/SKILL.md
projection-patterns	projection;patterns	8	skills/projection-patterns/SKILL.md
pubmed-database	pubmed;database	8	skills/pubmed-database/SKILL.md
agentmail	agentmail	6	skills/agentmail/SKILL.md
code-refactoring-context-restore	code;refactoring;context;restore	6	skills/code-refactoring-context-restore/SKILL.md
cqrs-implementation	cqrs;implementation	6	skills/cqrs-implementation/SKILL.md
domain-driven-design	domain;driven;design	6	skills/domain-driven-design/SKILL.md
software-architecture	software;architecture	6	skills/software-architecture/SKILL.md
api-documentation-generator	api;documentation;generator	4	skills/api-documentation-generator/SKILL.md
architect-review	architect;review	4	skills/architect-review/SKILL.md
architecture	architecture	4	skills/architecture/SKILL.md
architecture-decision-records	architecture;decision;records	4	skills/architecture-decision-records/SKILL.md
azure-ai-translation-ts	azure;ai;translation;ts	4	skills/azure-ai-translation-ts/SKILL.md
bdistill-behavioral-xray	bdistill;behavioral;xray	4	skills/bdistill-behavioral-xray/SKILL.md
bdistill-knowledge-extraction	bdistill;knowledge;extraction	4	skills/bdistill-knowledge-extraction/SKILL.md
codebase-cleanup-refactor-clean	codebase;cleanup;refactor;clean	4	skills/codebase-cleanup-refactor-clean/SKILL.md
code-refactoring-refactor-clean	code;refactoring;refactor;clean	4	skills/code-refactoring-refactor-clean/SKILL.md
code-refactoring-tech-debt	code;refactoring;tech;debt	4	skills/code-refactoring-tech-debt/SKILL.md
codex-review	codex;review	4	skills/codex-review/SKILL.md
ddd-context-mapping	ddd;context;mapping	4	skills/ddd-context-mapping/SKILL.md
ddd-strategic-design	ddd;strategic;design	4	skills/ddd-strategic-design/SKILL.md
ddd-tactical-patterns	ddd;tactical;patterns	4	skills/ddd-tactical-patterns/SKILL.md
distributed-tracing	distributed;tracing	4	skills/distributed-tracing/SKILL.md
exa-search	exa;search	4	skills/exa-search/SKILL.md
firecrawl-scraper	firecrawl;scraper	4	skills/firecrawl-scraper/SKILL.md
fp-async	fp;async	4	skills/fp-async/SKILL.md
fp-taskeither-ref	fp;taskeither;ref	4	skills/fp-taskeither-ref/SKILL.md
gemini-api-dev	gemini;api;dev	4	skills/gemini-api-dev/SKILL.md
gemini-live-api-dev	gemini;live;api;dev	4	skills/gemini-live-api-dev/SKILL.md
moodle-external-api-development	moodle;external;api;development	4	skills/moodle-external-api-development/SKILL.md
new-rails-project	new;rails;project	4	skills/new-rails-project/SKILL.md
nx-workspace-patterns	nx;workspace;patterns	4	skills/nx-workspace-patterns/SKILL.md
odoo-docker-deployment	odoo;docker;deployment	4	skills/odoo-docker-deployment/SKILL.md
odoo-inventory-optimizer	odoo;inventory;optimizer	4	skills/odoo-inventory-optimizer/SKILL.md
odoo-l10n-compliance	odoo;l10n;compliance	4	skills/odoo-l10n-compliance/SKILL.md
odoo-orm-expert	odoo;orm;expert	4	skills/odoo-orm-expert/SKILL.md
odoo-project-timesheet	odoo;project;timesheet	4	skills/odoo-project-timesheet/SKILL.md
odoo-qweb-templates	odoo;qweb;templates	4	skills/odoo-qweb-templates/SKILL.md
odoo-upgrade-advisor	odoo;upgrade;advisor	4	skills/odoo-upgrade-advisor/SKILL.md
odoo-xml-views-builder	odoo;xml;views;builder	4	skills/odoo-xml-views-builder/SKILL.md
reference-builder	reference;builder	4	skills/reference-builder/SKILL.md
skill-rails-upgrade	skill;rails;upgrade	4	skills/skill-rails-upgrade/SKILL.md
tavily-web	tavily;web	4	skills/tavily-web/SKILL.md
turborepo-caching	turborepo;caching	4	skills/turborepo-caching/SKILL.md
vertex-ai-api-dev	vertex;ai;api;dev	4	skills/vertex-ai-api-dev/SKILL.md
