"skill_id","triggers","score","src_path"
"attach-db","attach;db","100","skills/attach-db/SKILL.md"
"database-admin","database;admin","100","skills/database-admin/SKILL.md"
"data-engineering-data-driven-feature","data;engineering;data;driven;feature","100","skills/data-engineering-data-driven-feature/SKILL.md"
"data-quality-frameworks","data;quality;frameworks","100","skills/data-quality-frameworks/SKILL.md"
"dbt-transformation-patterns","dbt;transformation;patterns","100","skills/dbt-transformation-patterns/SKILL.md"
"query","query","100","skills/query/SKILL.md"
"read-file","read;file","100","skills/read-file/SKILL.md"
"read-memories","read;memories","100","skills/read-memories/SKILL.md"
"supabase-automation","supabase;automation","100","skills/supabase-automation/SKILL.md"
"tinybird-cli-guidelines","tinybird;cli;guidelines","100","skills/tinybird-cli-guidelines/SKILL.md"
"netlify-db","netlify;db","20","skills/netlify-db/SKILL.md"
"database","database","14","skills/database/SKILL.md"
"prisma-expert","prisma;expert","14","skills/prisma-expert/SKILL.md"
"cloudflare-d1","cloudflare;d1","12","skills/cloudflare-d1/SKILL.md"
"database-migrations-sql-migrations","database;migrations;sql;migrations","12","skills/database-migrations-sql-migrations/SKILL.md"
"data-engineer","data;engineer","12","skills/data-engineer/SKILL.md"
"exploiting-nosql-injection-vulnerabilities","exploiting;nosql;injection;vulnerabilities","12","skills/exploiting-nosql-injection-vulnerabilities/SKILL.md"
"postgres","postgres","12","skills/postgres/SKILL.md"
"database-migration","database;migration","10","skills/database-migration/SKILL.md"
"implementing-pam-for-database-access","implementing;pam;for;database;access","10","skills/implementing-pam-for-database-access/SKILL.md"
"performing-second-order-sql-injection","performing;second;order;sql;injection","10","skills/performing-second-order-sql-injection/SKILL.md"
"postgres-best-practices","postgres;best;practices","10","skills/postgres-best-practices/SKILL.md"
"postgresql-optimization","postgresql;optimization","10","skills/postgresql-optimization/SKILL.md"
"snowflake-development","snowflake;development","10","skills/snowflake-development/SKILL.md"
"sql-optimization-patterns","sql;optimization;patterns","10","skills/sql-optimization-patterns/SKILL.md"
"supabase-postgres-best-practices","supabase;postgres;best;practices","10","skills/supabase-postgres-best-practices/SKILL.md"
"azure-resource-manager-postgresql-dotnet","azure;resource;manager;postgresql;dotnet","8","skills/azure-resource-manager-postgresql-dotnet/SKILL.md"
"claimable-postgres","claimable;postgres","8","skills/claimable-postgres/SKILL.md"
"database-design","database;design","8","skills/database-design/SKILL.md"
"django-perf-review","django;perf;review","8","skills/django-perf-review/SKILL.md"
"exploiting-sql-injection-with-sqlmap","exploiting;sql;injection;with;sqlmap","8","skills/exploiting-sql-injection-with-sqlmap/SKILL.md"
"mssql","mssql","8","skills/mssql/SKILL.md"
"mysql","mysql","8","skills/mysql/SKILL.md"
"performing-sqlite-database-forensics","performing;sqlite;database;forensics","8","skills/performing-sqlite-database-forensics/SKILL.md"
"sqlmap-database-pentesting","sqlmap;database;pentesting","8","skills/sqlmap-database-pentesting/SKILL.md"
"sql-pro","sql;pro","8","skills/sql-pro/SKILL.md"
"using-neon","using;neon","8","skills/using-neon/SKILL.md"
"asc-metadata-sync","asc;metadata;sync","6","skills/asc-metadata-sync/SKILL.md"
"base","base","6","skills/base/SKILL.md"
"cc-skill-clickhouse-io","cc;skill;clickhouse;io","6","skills/cc-skill-clickhouse-io/SKILL.md"
"comm-lit-review","comm;lit;review","6","skills/comm-lit-review/SKILL.md"
"database-optimizer","database;optimizer","6","skills/database-optimizer/SKILL.md"
"framework-migration-code-migrate","framework;migration;code;migrate","6","skills/framework-migration-code-migrate/SKILL.md"
"netlify-blobs","netlify;blobs","6","skills/netlify-blobs/SKILL.md"
"odoo-performance-tuner","odoo;performance;tuner","6","skills/odoo-performance-tuner/SKILL.md"
"performing-post-quantum-cryptography-migration","performing;post;quantum;cryptography;migration","6","skills/performing-post-quantum-cryptography-migration/SKILL.md"
"performing-privileged-account-discovery","performing;privileged;account;discovery","6","skills/performing-privileged-account-discovery/SKILL.md"
"performing-web-application-firewall-bypass","performing;web;application;firewall;bypass","6","skills/performing-web-application-firewall-bypass/SKILL.md"
"postgresql","postgresql","6","skills/postgresql/SKILL.md"
"spark-optimization","spark;optimization","6","skills/spark-optimization/SKILL.md"
"azure-postgres-ts","azure;postgres;ts","4","skills/azure-postgres-ts/SKILL.md"
"database-schema","database;schema","4","skills/database-schema/SKILL.md"
"debug-buttercup","debug;buttercup","4","skills/debug-buttercup/SKILL.md"
"detecting-sql-injection-via-waf-logs","detecting;sql;injection;via;waf","4","skills/detecting-sql-injection-via-waf-logs/SKILL.md"
"duckdb-docs","duckdb;docs","4","skills/duckdb-docs/SKILL.md"
"exploiting-sql-injection-vulnerabilities","exploiting;sql;injection;vulnerabilities","4","skills/exploiting-sql-injection-vulnerabilities/SKILL.md"
"food-database-query","food;database;query","4","skills/food-database-query/SKILL.md"
"install-duckdb","install;duckdb","4","skills/install-duckdb/SKILL.md"
"neon-postgres","neon;postgres","4","skills/neon-postgres/SKILL.md"
"netlify-image-cdn","netlify;image;cdn","4","skills/netlify-image-cdn/SKILL.md"
"performance-optimizer","performance;optimizer","4","skills/performance-optimizer/SKILL.md"
"performing-credential-access-with-lazagne","performing;credential;access;with;lazagne","4","skills/performing-credential-access-with-lazagne/SKILL.md"
"performing-service-account-credential-rotation","performing;service;account;credential;rotation","4","skills/performing-service-account-credential-rotation/SKILL.md"
"similarity-search-patterns","similarity;search;patterns","4","skills/similarity-search-patterns/SKILL.md"
"supabase-node","supabase;node","4","skills/supabase-node/SKILL.md"
