skill_id	triggers	score	src_path
acquisition-channel-advisor	acquisition;channel;advisor	100	src/Product-Manager-Skills/skills/acquisition-channel-advisor/SKILL.md
app-analytics	app;analytics	100	src/aso-skills/skills/app-analytics/SKILL.md
app-icon-optimization	app;icon;optimization	100	src/aso-skills/skills/app-icon-optimization/SKILL.md
opportunity-solution-tree	opportunity;solution;tree	100	src/Product-Manager-Skills/skills/opportunity-solution-tree/SKILL.md
paywall-upgrade-cro	paywall;upgrade;cro	100	src/antigravity-awesome-skills/skills/paywall-upgrade-cro/SKILL.md
referral-program	referral;program	100	src/antigravity-awesome-skills/skills/referral-program/SKILL.md
screenshot-optimization	screenshot;optimization	100	src/aso-skills/skills/screenshot-optimization/SKILL.md
user-story	user;story	100	src/Product-Manager-Skills/skills/user-story/SKILL.md
user-story-mapping	user;story;mapping	100	src/Product-Manager-Skills/skills/user-story-mapping/SKILL.md
user-story-mapping-workshop	user;story;mapping;workshop	100	src/Product-Manager-Skills/skills/user-story-mapping-workshop/SKILL.md
product-strategy-session	product;strategy;session	28	src/Product-Manager-Skills/skills/product-strategy-session/SKILL.md
roadmap-planning	roadmap;planning	27	src/Product-Manager-Skills/skills/roadmap-planning/SKILL.md
go-to-market-plan	go;to;market;plan	23	src/founder-skills/skills/go-to-market-plan/SKILL.md
monetization-strategy	monetization;strategy	20	src/aso-skills/skills/monetization-strategy/SKILL.md
company-research	company;research	17	src/Product-Manager-Skills/skills/company-research/SKILL.md
discovery-interview-prep	discovery;interview;prep	15	src/Product-Manager-Skills/skills/discovery-interview-prep/SKILL.md
epic-hypothesis	epic;hypothesis	15	src/Product-Manager-Skills/skills/epic-hypothesis/SKILL.md
positioning-workshop	positioning;workshop	15	src/Product-Manager-Skills/skills/positioning-workshop/SKILL.md
problem-statement	problem;statement	15	src/Product-Manager-Skills/skills/problem-statement/SKILL.md
customer-journey-mapping-workshop	customer;journey;mapping;workshop	13	src/Product-Manager-Skills/skills/customer-journey-mapping-workshop/SKILL.md
jobs-to-be-done	jobs;to;be;done	13	src/Product-Manager-Skills/skills/jobs-to-be-done/SKILL.md
