"skill_id","triggers","score","src_path"
"animejs-animation","animejs;animation","100","src/antigravity-awesome-skills/skills/animejs-animation/SKILL.md"
"c4-architecture-c4-architecture","c4;architecture;c4;architecture","100","src/antigravity-awesome-skills/skills/c4-architecture-c4-architecture/SKILL.md"
"c4-component","c4;component","100","src/antigravity-awesome-skills/skills/c4-component/SKILL.md"
"canvas-design","canvas;design","100","src/antigravity-awesome-skills/skills/canvas-design/SKILL.md"
"claude-d3js-skill","claude;d3js;skill","100","src/antigravity-awesome-skills/skills/claude-d3js-skill/SKILL.md"
"design-md","design;md","100","src/antigravity-awesome-skills/skills/design-md/SKILL.md"
"design-orchestration","design;orchestration","100","src/antigravity-awesome-skills/skills/design-orchestration/SKILL.md"
"figma-create-design-system-rules","figma;create;design;system;rules","100","src/mcp-server-guide/skills/figma-create-design-system-rules/SKILL.md"
"figma-generate-design","figma;generate;design","100","src/mcp-server-guide/skills/figma-generate-design/SKILL.md"
"figma-use","figma;use","100","src/mcp-server-guide/skills/figma-use/SKILL.md"
"mermaid-expert","mermaid;expert","100","src/antigravity-awesome-skills/skills/mermaid-expert/SKILL.md"
"nerdzao-elite","nerdzao;elite","100","src/antigravity-awesome-skills/skills/nerdzao-elite/SKILL.md"
"scroll-experience","scroll;experience","100","src/antigravity-awesome-skills/skills/scroll-experience/SKILL.md"
"theme-factory","theme;factory","100","src/antigravity-awesome-skills/skills/theme-factory/SKILL.md"
"threejs-animation","threejs;animation","100","src/antigravity-awesome-skills/skills/threejs-animation/SKILL.md"
"threejs-fundamentals","threejs;fundamentals","100","src/antigravity-awesome-skills/skills/threejs-fundamentals/SKILL.md"
"threejs-geometry","threejs;geometry","100","src/antigravity-awesome-skills/skills/threejs-geometry/SKILL.md"
"threejs-interaction","threejs;interaction","100","src/antigravity-awesome-skills/skills/threejs-interaction/SKILL.md"
"threejs-lighting","threejs;lighting","100","src/antigravity-awesome-skills/skills/threejs-lighting/SKILL.md"
"threejs-loaders","threejs;loaders","100","src/antigravity-awesome-skills/skills/threejs-loaders/SKILL.md"
"threejs-materials","threejs;materials","100","src/antigravity-awesome-skills/skills/threejs-materials/SKILL.md"
"threejs-postprocessing","threejs;postprocessing","100","src/antigravity-awesome-skills/skills/threejs-postprocessing/SKILL.md"
"threejs-skills","threejs;skills","100","src/antigravity-awesome-skills/skills/threejs-skills/SKILL.md"
"threejs-textures","threejs;textures","100","src/antigravity-awesome-skills/skills/threejs-textures/SKILL.md"
"ui-ux-designer","ui;ux;designer","30","src/antigravity-awesome-skills/skills/ui-ux-designer/SKILL.md"
"ui-ux-pro-max","ui;ux;pro;max","20","src/antigravity-awesome-skills/skills/ui-ux-pro-max/SKILL.md"
"antigravity-design-expert","antigravity;design;expert","17","src/antigravity-awesome-skills/skills/antigravity-design-expert/SKILL.md"
"stitch-design","stitch;design","17","src/stitch-skills/skills/stitch-design/SKILL.md"
"accessibility-compliance-accessibility-audit","accessibility;compliance;accessibility;audit","15","src/antigravity-awesome-skills/skills/accessibility-compliance-accessibility-audit/SKILL.md"
"baseline-ui","baseline;ui","15","src/antigravity-awesome-skills/skills/baseline-ui/SKILL.md"
"figma-implement-design","figma;implement;design","15","src/mcp-server-guide/skills/figma-implement-design/SKILL.md"
"hig-patterns","hig;patterns","15","src/antigravity-awesome-skills/skills/hig-patterns/SKILL.md"
"iconsax-library","iconsax;library","15","src/antigravity-awesome-skills/skills/iconsax-library/SKILL.md"
"product-design","product;design","15","src/antigravity-awesome-skills/skills/product-design/SKILL.md"
"ui-visual-validator","ui;visual;validator","15","src/antigravity-awesome-skills/skills/ui-visual-validator/SKILL.md"
"radix-ui-design-system","radix;ui;design;system","13","src/antigravity-awesome-skills/skills/radix-ui-design-system/SKILL.md"
"stitch-ui-design","stitch;ui;design","13","src/antigravity-awesome-skills/skills/stitch-ui-design/SKILL.md"
"tailwind-design-system","tailwind;design;system","13","src/antigravity-awesome-skills/skills/tailwind-design-system/SKILL.md"
"core-components","core;components","11","src/antigravity-awesome-skills/skills/core-components/SKILL.md"
"fixing-accessibility","fixing;accessibility","11","src/antigravity-awesome-skills/skills/fixing-accessibility/SKILL.md"
"hig-components-status","hig;components;status","11","src/antigravity-awesome-skills/skills/hig-components-status/SKILL.md"
"hig-foundations","hig;foundations","11","src/antigravity-awesome-skills/skills/hig-foundations/SKILL.md"
"hig-platforms","hig;platforms","11","src/antigravity-awesome-skills/skills/hig-platforms/SKILL.md"
"hig-project-context","hig;project;context","11","src/antigravity-awesome-skills/skills/hig-project-context/SKILL.md"
"imagen","imagen","11","src/antigravity-awesome-skills/skills/imagen/SKILL.md"
"product-inventor","product;inventor","11","src/antigravity-awesome-skills/skills/product-inventor/SKILL.md"
"shadcn","shadcn","11","src/antigravity-awesome-skills/skills/shadcn/SKILL.md"
"swiftui-ui-patterns","swiftui;ui;patterns","11","src/antigravity-awesome-skills/skills/swiftui-ui-patterns/SKILL.md"
"frontend-ui-dark-ts","frontend;ui;dark;ts","9","src/antigravity-awesome-skills/skills/frontend-ui-dark-ts/SKILL.md"
"nerdzao-elite-gemini-high","nerdzao;elite;gemini;high","9","src/antigravity-awesome-skills/skills/nerdzao-elite-gemini-high/SKILL.md"
"nosql-expert","nosql;expert","9","src/antigravity-awesome-skills/skills/nosql-expert/SKILL.md"
"angular-ui-patterns","angular;ui;patterns","7","src/antigravity-awesome-skills/skills/angular-ui-patterns/SKILL.md"
"avalonia-layout-zafiro","avalonia;layout;zafiro","7","src/antigravity-awesome-skills/skills/avalonia-layout-zafiro/SKILL.md"
"avalonia-zafiro-development","avalonia;zafiro;development","7","src/antigravity-awesome-skills/skills/avalonia-zafiro-development/SKILL.md"
"building-native-ui","building;native;ui","7","src/antigravity-awesome-skills/skills/building-native-ui/SKILL.md"
"cc-skill-frontend-patterns","cc;skill;frontend;patterns","7","src/antigravity-awesome-skills/skills/cc-skill-frontend-patterns/SKILL.md"
"expo-ui-jetpack-compose","expo;ui;jetpack;compose","7","src/antigravity-awesome-skills/skills/expo-ui-jetpack-compose/SKILL.md"
"hig-components-content","hig;components;content","7","src/antigravity-awesome-skills/skills/hig-components-content/SKILL.md"
"hig-components-dialogs","hig;components;dialogs","7","src/antigravity-awesome-skills/skills/hig-components-dialogs/SKILL.md"
"hig-components-layout","hig;components;layout","7","src/antigravity-awesome-skills/skills/hig-components-layout/SKILL.md"
"hig-components-search","hig;components;search","7","src/antigravity-awesome-skills/skills/hig-components-search/SKILL.md"
"hig-components-system","hig;components;system","7","src/antigravity-awesome-skills/skills/hig-components-system/SKILL.md"
"lean-ux-canvas","lean;ux;canvas","7","src/Product-Manager-Skills/skills/lean-ux-canvas/SKILL.md"
"magic-animator","magic;animator","7","src/antigravity-awesome-skills/skills/magic-animator/SKILL.md"
"magic-ui-generator","magic;ui;generator","7","src/antigravity-awesome-skills/skills/magic-ui-generator/SKILL.md"
"makepad-skills","makepad;skills","7","src/antigravity-awesome-skills/skills/makepad-skills/SKILL.md"
"react-ui-patterns","react;ui;patterns","7","src/antigravity-awesome-skills/skills/react-ui-patterns/SKILL.md"
"senior-frontend","senior;frontend","7","src/antigravity-awesome-skills/skills/senior-frontend/SKILL.md"
"shadcn-ui","shadcn;ui","7","src/stitch-skills/skills/shadcn-ui/SKILL.md"
"swiftui-liquid-glass","swiftui;liquid;glass","7","src/antigravity-awesome-skills/skills/swiftui-liquid-glass/SKILL.md"
"swiftui-performance-audit","swiftui;performance;audit","7","src/antigravity-awesome-skills/skills/swiftui-performance-audit/SKILL.md"
