skill_id	triggers	score	src_path
animejs-animation	animejs;animation	100	skills/animejs-animation/SKILL.md
c4-architecture-c4-architecture	c4;architecture;c4;architecture	100	skills/c4-architecture-c4-architecture/SKILL.md
c4-component	c4;component	100	skills/c4-component/SKILL.md
canvas-design	canvas;design	100	skills/canvas-design/SKILL.md
claude-d3js-skill	claude;d3js;skill	100	skills/claude-d3js-skill/SKILL.md
design-md	design;md	100	skills/design-md/SKILL.md
design-orchestration	design;orchestration	100	skills/design-orchestration/SKILL.md
figma-create-design-system-rules	figma;create;design;system;rules	100	skills/figma-create-design-system-rules/SKILL.md
figma-generate-design	figma;generate;design	100	skills/figma-generate-design/SKILL.md
figma-use	figma;use	100	skills/figma-use/SKILL.md
mermaid-expert	mermaid;expert	100	skills/mermaid-expert/SKILL.md
nerdzao-elite	nerdzao;elite	100	skills/nerdzao-elite/SKILL.md
scroll-experience	scroll;experience	100	skills/scroll-experience/SKILL.md
theme-factory	theme;factory	100	skills/theme-factory/SKILL.md
threejs-animation	threejs;animation	100	skills/threejs-animation/SKILL.md
threejs-fundamentals	threejs;fundamentals	100	skills/threejs-fundamentals/SKILL.md
threejs-geometry	threejs;geometry	100	skills/threejs-geometry/SKILL.md
threejs-interaction	threejs;interaction	100	skills/threejs-interaction/SKILL.md
threejs-lighting	threejs;lighting	100	skills/threejs-lighting/SKILL.md
threejs-loaders	threejs;loaders	100	skills/threejs-loaders/SKILL.md
threejs-materials	threejs;materials	100	skills/threejs-materials/SKILL.md
threejs-postprocessing	threejs;postprocessing	100	skills/threejs-postprocessing/SKILL.md
threejs-skills	threejs;skills	100	skills/threejs-skills/SKILL.md
threejs-textures	threejs;textures	100	skills/threejs-textures/SKILL.md
ui-ux-designer	ui;ux;designer	30	skills/ui-ux-designer/SKILL.md
ui-ux-pro-max	ui;ux;pro;max	20	skills/ui-ux-pro-max/SKILL.md
antigravity-design-expert	antigravity;design;expert	17	skills/antigravity-design-expert/SKILL.md
stitch-design	stitch;design	17	skills/stitch-design/SKILL.md
accessibility-compliance-accessibility-audit	accessibility;compliance;accessibility;audit	15	skills/accessibility-compliance-accessibility-audit/SKILL.md
baseline-ui	baseline;ui	15	skills/baseline-ui/SKILL.md
figma-implement-design	figma;implement;design	15	skills/figma-implement-design/SKILL.md
hig-patterns	hig;patterns	15	skills/hig-patterns/SKILL.md
iconsax-library	iconsax;library	15	skills/iconsax-library/SKILL.md
product-design	product;design	15	skills/product-design/SKILL.md
ui-visual-validator	ui;visual;validator	15	skills/ui-visual-validator/SKILL.md
radix-ui-design-system	radix;ui;design;system	13	skills/radix-ui-design-system/SKILL.md
stitch-ui-design	stitch;ui;design	13	skills/stitch-ui-design/SKILL.md
tailwind-design-system	tailwind;design;system	13	skills/tailwind-design-system/SKILL.md
core-components	core;components	11	skills/core-components/SKILL.md
fixing-accessibility	fixing;accessibility	11	skills/fixing-accessibility/SKILL.md
hig-components-status	hig;components;status	11	skills/hig-components-status/SKILL.md
hig-foundations	hig;foundations	11	skills/hig-foundations/SKILL.md
hig-platforms	hig;platforms	11	skills/hig-platforms/SKILL.md
hig-project-context	hig;project;context	11	skills/hig-project-context/SKILL.md
imagen	imagen	11	skills/imagen/SKILL.md
product-inventor	product;inventor	11	skills/product-inventor/SKILL.md
shadcn	shadcn	11	skills/shadcn/SKILL.md
swiftui-ui-patterns	swiftui;ui;patterns	11	skills/swiftui-ui-patterns/SKILL.md
frontend-ui-dark-ts	frontend;ui;dark;ts	9	skills/frontend-ui-dark-ts/SKILL.md
nerdzao-elite-gemini-high	nerdzao;elite;gemini;high	9	skills/nerdzao-elite-gemini-high/SKILL.md
nosql-expert	nosql;expert	9	skills/nosql-expert/SKILL.md
angular-ui-patterns	angular;ui;patterns	7	skills/angular-ui-patterns/SKILL.md
avalonia-layout-zafiro	avalonia;layout;zafiro	7	skills/avalonia-layout-zafiro/SKILL.md
avalonia-zafiro-development	avalonia;zafiro;development	7	skills/avalonia-zafiro-development/SKILL.md
building-native-ui	building;native;ui	7	skills/building-native-ui/SKILL.md
cc-skill-frontend-patterns	cc;skill;frontend;patterns	7	skills/cc-skill-frontend-patterns/SKILL.md
expo-ui-jetpack-compose	expo;ui;jetpack;compose	7	skills/expo-ui-jetpack-compose/SKILL.md
hig-components-content	hig;components;content	7	skills/hig-components-content/SKILL.md
hig-components-dialogs	hig;components;dialogs	7	skills/hig-components-dialogs/SKILL.md
hig-components-layout	hig;components;layout	7	skills/hig-components-layout/SKILL.md
hig-components-search	hig;components;search	7	skills/hig-components-search/SKILL.md
hig-components-system	hig;components;system	7	skills/hig-components-system/SKILL.md
lean-ux-canvas	lean;ux;canvas	7	skills/lean-ux-canvas/SKILL.md
magic-animator	magic;animator	7	skills/magic-animator/SKILL.md
magic-ui-generator	magic;ui;generator	7	skills/magic-ui-generator/SKILL.md
makepad-skills	makepad;skills	7	skills/makepad-skills/SKILL.md
react-ui-patterns	react;ui;patterns	7	skills/react-ui-patterns/SKILL.md
senior-frontend	senior;frontend	7	skills/senior-frontend/SKILL.md
shadcn-ui	shadcn;ui	7	skills/shadcn-ui/SKILL.md
