"skill_id","triggers","score","src_path"
"azure-keyvault-keys-ts","azure;keyvault;keys;ts","100","src/antigravity-awesome-skills/skills/azure-keyvault-keys-ts/SKILL.md"
"azure-keyvault-secrets-ts","azure;keyvault;secrets;ts","100","src/antigravity-awesome-skills/skills/azure-keyvault-secrets-ts/SKILL.md"
"changelog-automation","changelog;automation","100","src/antigravity-awesome-skills/skills/changelog-automation/SKILL.md"
"cicd-automation-workflow-automate","cicd;automation;workflow;automate","100","src/antigravity-awesome-skills/skills/cicd-automation-workflow-automate/SKILL.md"
"cloudformation-best-practices","cloudformation;best;practices","100","src/antigravity-awesome-skills/skills/cloudformation-best-practices/SKILL.md"
"deployment-engineer","deployment;engineer","100","src/antigravity-awesome-skills/skills/deployment-engineer/SKILL.md"
"firebase","firebase","100","src/alinaqi-claude-bootstrap/skills/firebase/SKILL.md"
"github-actions-templates","github;actions;templates","100","src/antigravity-awesome-skills/skills/github-actions-templates/SKILL.md"
"gitlab-ci-patterns","gitlab;ci;patterns","100","src/antigravity-awesome-skills/skills/gitlab-ci-patterns/SKILL.md"
"gitops-workflow","gitops;workflow","100","src/antigravity-awesome-skills/skills/gitops-workflow/SKILL.md"
"netlify-cli-and-deploy","netlify;cli;and;deploy","100","src/context-and-tools/skills/netlify-cli-and-deploy/SKILL.md"
"netlify-deploy","netlify;deploy","100","src/context-and-tools/skills/netlify-deploy/SKILL.md"
"odoo-backup-strategy","odoo;backup;strategy","100","src/antigravity-awesome-skills/skills/odoo-backup-strategy/SKILL.md"
"render-automation","render;automation","100","src/antigravity-awesome-skills/skills/render-automation/SKILL.md"
"vercel-automation","vercel;automation","100","src/antigravity-awesome-skills/skills/vercel-automation/SKILL.md"
"vercel-deployment","vercel;deployment","100","src/antigravity-awesome-skills/skills/vercel-deployment/SKILL.md"
"cloud-devops","cloud;devops","41","src/antigravity-awesome-skills/skills/cloud-devops/SKILL.md"
"cloud-architect","cloud;architect","25","src/antigravity-awesome-skills/skills/cloud-architect/SKILL.md"
"devops-deploy","devops;deploy","24","src/antigravity-awesome-skills/skills/devops-deploy/SKILL.md"
"cloud-penetration-testing","cloud;penetration;testing","21","src/antigravity-awesome-skills/skills/cloud-penetration-testing/SKILL.md"
"database-cloud-optimization-cost-optimize","database;cloud;optimization;cost;optimize","21","src/antigravity-awesome-skills/skills/database-cloud-optimization-cost-optimize/SKILL.md"
"performing-cloud-asset-inventory-with-cartography","performing;cloud;asset;inventory;with","21","src/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-cloud-asset-inventory-with-cartography/SKILL.md"
"performing-cloud-incident-containment-procedures","performing;cloud;incident;containment;procedures","21","src/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-cloud-incident-containment-procedures/SKILL.md"
"observability-engineer","observability;engineer","20","src/antigravity-awesome-skills/skills/observability-engineer/SKILL.md"
"terraform-module-library","terraform;module;library","20","src/antigravity-awesome-skills/skills/terraform-module-library/SKILL.md"
"aws-serverless","aws;serverless","17","src/antigravity-awesome-skills/skills/aws-serverless/SKILL.md"
"azd-deployment","azd;deployment","17","src/antigravity-awesome-skills/skills/azd-deployment/SKILL.md"
"hunting-for-living-off-the-cloud-techniques","hunting;for;living;off;the","17","src/mukul975-Anthropic-Cybersecurity-Skills/skills/hunting-for-living-off-the-cloud-techniques/SKILL.md"
"hybrid-cloud-architect","hybrid;cloud;architect","17","src/antigravity-awesome-skills/skills/hybrid-cloud-architect/SKILL.md"
"multi-cloud-architecture","multi;cloud;architecture","17","src/antigravity-awesome-skills/skills/multi-cloud-architecture/SKILL.md"
"performing-cloud-forensics-investigation","performing;cloud;forensics;investigation","17","src/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-cloud-forensics-investigation/SKILL.md"
"bash-defensive-patterns","bash;defensive;patterns","16","src/antigravity-awesome-skills/skills/bash-defensive-patterns/SKILL.md"
"bats-testing-patterns","bats;testing;patterns","16","src/antigravity-awesome-skills/skills/bats-testing-patterns/SKILL.md"
"os-scripting","os;scripting","16","src/antigravity-awesome-skills/skills/os-scripting/SKILL.md"
"observability-monitoring-slo-implement","observability;monitoring;slo;implement","14","src/antigravity-awesome-skills/skills/observability-monitoring-slo-implement/SKILL.md"
"bash-linux","bash;linux","13","src/antigravity-awesome-skills/skills/bash-linux/SKILL.md"
"cloud-uploader","cloud;uploader","13","src/bitwize-music-studio-claude-ai-music-skills/skills/cloud-uploader/SKILL.md"
