"skill_id","triggers","score","src_path"
"istio-traffic-management","istio;traffic;management","100","src/antigravity-awesome-skills/skills/istio-traffic-management/SKILL.md"
"linkerd-patterns","linkerd;patterns","100","src/antigravity-awesome-skills/skills/linkerd-patterns/SKILL.md"
"service-mesh-expert","service;mesh;expert","100","src/antigravity-awesome-skills/skills/service-mesh-expert/SKILL.md"
"windows-vm","windows;vm","100","src/superpowers-lab/skills/windows-vm/SKILL.md"
"kubernetes-deployment","kubernetes;deployment","20","src/antigravity-awesome-skills/skills/kubernetes-deployment/SKILL.md"
"docker-expert","docker;expert","12","src/antigravity-awesome-skills/skills/docker-expert/SKILL.md"
"kubernetes-architect","kubernetes;architect","12","src/antigravity-awesome-skills/skills/kubernetes-architect/SKILL.md"
"analyzing-docker-container-forensics","analyzing;docker;container;forensics","8","src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-docker-container-forensics/SKILL.md"
"helm-chart-scaffolding","helm;chart;scaffolding","8","src/antigravity-awesome-skills/skills/helm-chart-scaffolding/SKILL.md"
"implementing-container-network-policies-with-calico","implementing;container;network;policies;with","8","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-container-network-policies-with-calico/SKILL.md"
"implementing-image-provenance-verification-with-cosign","implementing;image;provenance;verification;with","8","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-image-provenance-verification-with-cosign/SKILL.md"
"k8s-manifest-generator","k8s;manifest;generator","8","src/antigravity-awesome-skills/skills/k8s-manifest-generator/SKILL.md"
"k8s-security-policies","k8s;security;policies","8","src/antigravity-awesome-skills/skills/k8s-security-policies/SKILL.md"
"analyzing-kubernetes-audit-logs","analyzing;kubernetes;audit;logs","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-kubernetes-audit-logs/SKILL.md"
"auditing-kubernetes-cluster-rbac","auditing;kubernetes;cluster;rbac","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/auditing-kubernetes-cluster-rbac/SKILL.md"
"c4-container","c4;container","4","src/antigravity-awesome-skills/skills/c4-container/SKILL.md"
"implementing-kubernetes-pod-security-standards","implementing;kubernetes;pod;security;standards","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-kubernetes-pod-security-standards/SKILL.md"
"implementing-network-policies-for-kubernetes","implementing;network;policies;for;kubernetes","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-network-policies-for-kubernetes/SKILL.md"
"implementing-opa-gatekeeper-for-policy-enforcement","implementing;opa;gatekeeper;for;policy","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-opa-gatekeeper-for-policy-enforcement/SKILL.md"
"implementing-pod-security-admission-controller","implementing;pod;security;admission;controller","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-pod-security-admission-controller/SKILL.md"
"implementing-rbac-hardening-for-kubernetes","implementing;rbac;hardening;for;kubernetes","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-rbac-hardening-for-kubernetes/SKILL.md"
"performing-container-escape-detection","performing;container;escape;detection","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-container-escape-detection/SKILL.md"
"performing-container-image-hardening","performing;container;image;hardening","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-container-image-hardening/SKILL.md"
"scanning-container-images-with-grype","scanning;container;images;with;grype","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/scanning-container-images-with-grype/SKILL.md"
"securing-container-registry-images","securing;container;registry;images","4","src/mukul975-Anthropic-Cybersecurity-Skills/skills/securing-container-registry-images/SKILL.md"
