skill_id	triggers	score	src_path
istio-traffic-management	istio;traffic;management	100	skills/istio-traffic-management/SKILL.md
linkerd-patterns	linkerd;patterns	100	skills/linkerd-patterns/SKILL.md
service-mesh-expert	service;mesh;expert	100	skills/service-mesh-expert/SKILL.md
windows-vm	windows;vm	100	skills/windows-vm/SKILL.md
kubernetes-deployment	kubernetes;deployment	20	skills/kubernetes-deployment/SKILL.md
docker-expert	docker;expert	12	skills/docker-expert/SKILL.md
kubernetes-architect	kubernetes;architect	12	skills/kubernetes-architect/SKILL.md
helm-chart-scaffolding	helm;chart;scaffolding	8	skills/helm-chart-scaffolding/SKILL.md
k8s-manifest-generator	k8s;manifest;generator	8	skills/k8s-manifest-generator/SKILL.md
k8s-security-policies	k8s;security;policies	8	skills/k8s-security-policies/SKILL.md
c4-container	c4;container	4	skills/c4-container/SKILL.md
