skill_id	triggers	score	src_path
clerk-auth	clerk;auth	100	src/antigravity-awesome-skills/skills/clerk-auth/SKILL.md
nextjs-supabase-auth	nextjs;supabase;auth	100	src/antigravity-awesome-skills/skills/nextjs-supabase-auth/SKILL.md
sveltekit	sveltekit	100	src/antigravity-awesome-skills/skills/sveltekit/SKILL.md
web-artifacts-builder	web;artifacts;builder	100	src/antigravity-awesome-skills/skills/web-artifacts-builder/SKILL.md
netlify-frameworks	netlify;frameworks	14	src/context-and-tools/skills/netlify-frameworks/SKILL.md
react-nextjs-development	react;nextjs;development	13	src/antigravity-awesome-skills/skills/react-nextjs-development/SKILL.md
nextjs-app-router-patterns	nextjs;app;router;patterns	10	src/antigravity-awesome-skills/skills/nextjs-app-router-patterns/SKILL.md
fp-react	fp;react	8	src/antigravity-awesome-skills/skills/fp-react/SKILL.md
fp-ts-react	fp;ts;react	8	src/antigravity-awesome-skills/skills/fp-ts-react/SKILL.md
react-modernization	react;modernization	8	src/antigravity-awesome-skills/skills/react-modernization/SKILL.md
react-patterns	react;patterns	8	src/antigravity-awesome-skills/skills/react-patterns/SKILL.md
vercel-ai-sdk-expert	vercel;ai;sdk;expert	8	src/antigravity-awesome-skills/skills/vercel-ai-sdk-expert/SKILL.md
algolia-search	algolia;search	4	src/antigravity-awesome-skills/skills/algolia-search/SKILL.md
frontend-developer	frontend;developer	4	src/antigravity-awesome-skills/skills/frontend-developer/SKILL.md
nextjs-best-practices	nextjs;best;practices	4	src/antigravity-awesome-skills/skills/nextjs-best-practices/SKILL.md
react-best-practices	react;best;practices	4	src/antigravity-awesome-skills/skills/react-best-practices/SKILL.md
react-component-performance	react;component;performance	4	src/antigravity-awesome-skills/skills/react-component-performance/SKILL.md
react-flow-architect	react;flow;architect	4	src/antigravity-awesome-skills/skills/react-flow-architect/SKILL.md
react-state-management	react;state;management	4	src/antigravity-awesome-skills/skills/react-state-management/SKILL.md
remotion-best-practices	remotion;best;practices	4	src/antigravity-awesome-skills/skills/remotion-best-practices/SKILL.md
shopify-apps	shopify;apps	4	src/antigravity-awesome-skills/skills/shopify-apps/SKILL.md
spline-3d-integration	spline;3d;integration	4	src/antigravity-awesome-skills/skills/spline-3d-integration/SKILL.md
tanstack-query-expert	tanstack;query;expert	4	src/antigravity-awesome-skills/skills/tanstack-query-expert/SKILL.md
trpc-fullstack	trpc;fullstack	4	src/antigravity-awesome-skills/skills/trpc-fullstack/SKILL.md
