"skill_id","triggers","score","src_path"
"astro","astro","100","src/antigravity-awesome-skills/skills/astro/SKILL.md"
"gsap-frameworks","gsap;frameworks","100","src/gsap-skills/skills/gsap-frameworks/SKILL.md"
"gsap-plugins","gsap;plugins","100","src/gsap-skills/skills/gsap-plugins/SKILL.md"
"gsap-react","gsap;react","100","src/gsap-skills/skills/gsap-react/SKILL.md"
"gsap-utils","gsap;utils","100","src/gsap-skills/skills/gsap-utils/SKILL.md"
"netlify-edge-functions","netlify;edge;functions","100","src/context-and-tools/skills/netlify-edge-functions/SKILL.md"
"gsap-core","gsap;core","12","src/gsap-skills/skills/gsap-core/SKILL.md"
"analyzing-malicious-url-with-urlscan","analyzing;malicious;url;with;urlscan","8","src/mukul975-Anthropic-Cybersecurity-Skills/skills/analyzing-malicious-url-with-urlscan/SKILL.md"
"i18n-localization","i18n;localization","8","src/antigravity-awesome-skills/skills/i18n-localization/SKILL.md"
"fixing-metadata","fixing;metadata","6","src/antigravity-awesome-skills/skills/fixing-metadata/SKILL.md"
"progressive-web-app","progressive;web;app","6","src/antigravity-awesome-skills/skills/progressive-web-app/SKILL.md"
"algorithmic-art","algorithmic;art","4","src/antigravity-awesome-skills/skills/algorithmic-art/SKILL.md"
"asc-subscription-localization","asc;subscription;localization","4","src/rudrankriyam-app-store-connect-cli-skills/skills/asc-subscription-localization/SKILL.md"
"favicon","favicon","4","src/antigravity-awesome-skills/skills/favicon/SKILL.md"
"fixing-motion-performance","fixing;motion;performance","4","src/antigravity-awesome-skills/skills/fixing-motion-performance/SKILL.md"
"frontend-slides","frontend;slides","4","src/antigravity-awesome-skills/skills/frontend-slides/SKILL.md"
"health-trend-analyzer","health;trend;analyzer","4","src/antigravity-awesome-skills/skills/health-trend-analyzer/SKILL.md"
"netlify-forms","netlify;forms","4","src/context-and-tools/skills/netlify-forms/SKILL.md"
"pdf-official","pdf;official","4","src/antigravity-awesome-skills/skills/pdf-official/SKILL.md"
"pwa-development","pwa;development","4","src/alinaqi-claude-bootstrap/skills/pwa-development/SKILL.md"
"tailwind-patterns","tailwind;patterns","4","src/antigravity-awesome-skills/skills/tailwind-patterns/SKILL.md"
"xss-html-injection","xss;html;injection","4","src/antigravity-awesome-skills/skills/xss-html-injection/SKILL.md"
