skill_id	triggers	score	src_path
astro	astro	100	skills/astro/SKILL.md
gsap-frameworks	gsap;frameworks	100	skills/gsap-frameworks/SKILL.md
gsap-plugins	gsap;plugins	100	skills/gsap-plugins/SKILL.md
gsap-react	gsap;react	100	skills/gsap-react/SKILL.md
gsap-utils	gsap;utils	100	skills/gsap-utils/SKILL.md
netlify-edge-functions	netlify;edge;functions	100	skills/netlify-edge-functions/SKILL.md
gsap-core	gsap;core	12	skills/gsap-core/SKILL.md
i18n-localization	i18n;localization	8	skills/i18n-localization/SKILL.md
fixing-metadata	fixing;metadata	6	skills/fixing-metadata/SKILL.md
progressive-web-app	progressive;web;app	6	skills/progressive-web-app/SKILL.md
algorithmic-art	algorithmic;art	4	skills/algorithmic-art/SKILL.md
favicon	favicon	4	skills/favicon/SKILL.md
fixing-motion-performance	fixing;motion;performance	4	skills/fixing-motion-performance/SKILL.md
frontend-slides	frontend;slides	4	skills/frontend-slides/SKILL.md
health-trend-analyzer	health;trend;analyzer	4	skills/health-trend-analyzer/SKILL.md
netlify-forms	netlify;forms	4	skills/netlify-forms/SKILL.md
pdf-official	pdf;official	4	skills/pdf-official/SKILL.md
tailwind-patterns	tailwind;patterns	4	skills/tailwind-patterns/SKILL.md
xss-html-injection	xss;html;injection	4	skills/xss-html-injection/SKILL.md
