"skill_id","triggers","score","src_path"
"ad-creative","ad;creative","100","src/antigravity-awesome-skills/skills/ad-creative/SKILL.md"
"beautiful-prose","beautiful;prose","100","src/antigravity-awesome-skills/skills/beautiful-prose/SKILL.md"
"competitor-alternatives","competitor;alternatives","100","src/antigravity-awesome-skills/skills/competitor-alternatives/SKILL.md"
"content-strategy","content;strategy","100","src/antigravity-awesome-skills/skills/content-strategy/SKILL.md"
"copywriting","copywriting","100","src/antigravity-awesome-skills/skills/copywriting/SKILL.md"
"cro-optimization","cro;optimization","100","src/founder-skills/skills/cro-optimization/SKILL.md"
"data-storytelling","data;storytelling","100","src/antigravity-awesome-skills/skills/data-storytelling/SKILL.md"
"free-tool-strategy","free;tool;strategy","100","src/antigravity-awesome-skills/skills/free-tool-strategy/SKILL.md"
"geo-fundamentals","geo;fundamentals","100","src/antigravity-awesome-skills/skills/geo-fundamentals/SKILL.md"
"latex-paper-conversion","latex;paper;conversion","100","src/antigravity-awesome-skills/skills/latex-paper-conversion/SKILL.md"
"onboarding-cro","onboarding;cro","100","src/antigravity-awesome-skills/skills/onboarding-cro/SKILL.md"
"page-cro","page;cro","100","src/antigravity-awesome-skills/skills/page-cro/SKILL.md"
"podcast-generation","podcast;generation","100","src/antigravity-awesome-skills/skills/podcast-generation/SKILL.md"
"popup-cro","popup;cro","100","src/antigravity-awesome-skills/skills/popup-cro/SKILL.md"
"programmatic-seo","programmatic;seo","100","src/antigravity-awesome-skills/skills/programmatic-seo/SKILL.md"
"schema-markup","schema;markup","100","src/antigravity-awesome-skills/skills/schema-markup/SKILL.md"
"scientific-writing","scientific;writing","100","src/antigravity-awesome-skills/skills/scientific-writing/SKILL.md"
"seo-image-gen","seo;image;gen","100","src/antigravity-awesome-skills/skills/seo-image-gen/SKILL.md"
"seo-programmatic","seo;programmatic","100","src/antigravity-awesome-skills/skills/seo-programmatic/SKILL.md"
"site-architecture","site;architecture","100","src/alinaqi-claude-bootstrap/skills/site-architecture/SKILL.md"
"seo-content-writer","seo;content;writer","18","src/antigravity-awesome-skills/skills/seo-content-writer/SKILL.md"
"content-creator","content;creator","16","src/antigravity-awesome-skills/skills/content-creator/SKILL.md"
"content-marketer","content;marketer","16","src/antigravity-awesome-skills/skills/content-marketer/SKILL.md"
"seo-content","seo;content","16","src/antigravity-awesome-skills/skills/seo-content/SKILL.md"
"seo-content-auditor","seo;content;auditor","16","src/antigravity-awesome-skills/skills/seo-content-auditor/SKILL.md"
"seo-content-planner","seo;content;planner","16","src/antigravity-awesome-skills/skills/seo-content-planner/SKILL.md"
"seo-content-refresher","seo;content;refresher","16","src/antigravity-awesome-skills/skills/seo-content-refresher/SKILL.md"
"web-content","web;content","16","src/alinaqi-claude-bootstrap/skills/web-content/SKILL.md"
"ai-seo","ai;seo","15","src/antigravity-awesome-skills/skills/ai-seo/SKILL.md"
"seo-cannibalization-detector","seo;cannibalization;detector","15","src/antigravity-awesome-skills/skills/seo-cannibalization-detector/SKILL.md"
"seo-keyword-strategist","seo;keyword;strategist","15","src/antigravity-awesome-skills/skills/seo-keyword-strategist/SKILL.md"
"seo-meta-optimizer","seo;meta;optimizer","15","src/antigravity-awesome-skills/skills/seo-meta-optimizer/SKILL.md"
"copy-editing","copy;editing","13","src/antigravity-awesome-skills/skills/copy-editing/SKILL.md"
"seo-geo","seo;geo","13","src/antigravity-awesome-skills/skills/seo-geo/SKILL.md"
"seo","seo","11","src/antigravity-awesome-skills/skills/seo/SKILL.md"
"seo-aeo-best-practices","seo;aeo;best;practices","11","src/agent-toolkit/skills/seo-aeo-best-practices/SKILL.md"
"seo-authority-builder","seo;authority;builder","11","src/antigravity-awesome-skills/skills/seo-authority-builder/SKILL.md"
