skill_id	triggers	score	src_path
ad-creative	ad;creative	100	skills/ad-creative/SKILL.md
beautiful-prose	beautiful;prose	100	skills/beautiful-prose/SKILL.md
competitor-alternatives	competitor;alternatives	100	skills/competitor-alternatives/SKILL.md
content-strategy	content;strategy	100	skills/content-strategy/SKILL.md
copywriting	copywriting	100	skills/copywriting/SKILL.md
cro-optimization	cro;optimization	100	skills/cro-optimization/SKILL.md
data-storytelling	data;storytelling	100	skills/data-storytelling/SKILL.md
free-tool-strategy	free;tool;strategy	100	skills/free-tool-strategy/SKILL.md
geo-fundamentals	geo;fundamentals	100	skills/geo-fundamentals/SKILL.md
latex-paper-conversion	latex;paper;conversion	100	skills/latex-paper-conversion/SKILL.md
onboarding-cro	onboarding;cro	100	skills/onboarding-cro/SKILL.md
page-cro	page;cro	100	skills/page-cro/SKILL.md
podcast-generation	podcast;generation	100	skills/podcast-generation/SKILL.md
popup-cro	popup;cro	100	skills/popup-cro/SKILL.md
programmatic-seo	programmatic;seo	100	skills/programmatic-seo/SKILL.md
schema-markup	schema;markup	100	skills/schema-markup/SKILL.md
scientific-writing	scientific;writing	100	skills/scientific-writing/SKILL.md
seo-image-gen	seo;image;gen	100	skills/seo-image-gen/SKILL.md
seo-programmatic	seo;programmatic	100	skills/seo-programmatic/SKILL.md
site-architecture	site;architecture	100	skills/site-architecture/SKILL.md
seo-content-writer	seo;content;writer	18	skills/seo-content-writer/SKILL.md
content-creator	content;creator	16	skills/content-creator/SKILL.md
content-marketer	content;marketer	16	skills/content-marketer/SKILL.md
seo-content	seo;content	16	skills/seo-content/SKILL.md
seo-content-auditor	seo;content;auditor	16	skills/seo-content-auditor/SKILL.md
seo-content-planner	seo;content;planner	16	skills/seo-content-planner/SKILL.md
seo-content-refresher	seo;content;refresher	16	skills/seo-content-refresher/SKILL.md
ai-seo	ai;seo	15	skills/ai-seo/SKILL.md
seo-cannibalization-detector	seo;cannibalization;detector	15	skills/seo-cannibalization-detector/SKILL.md
seo-keyword-strategist	seo;keyword;strategist	15	skills/seo-keyword-strategist/SKILL.md
seo-meta-optimizer	seo;meta;optimizer	15	skills/seo-meta-optimizer/SKILL.md
copy-editing	copy;editing	13	skills/copy-editing/SKILL.md
seo-geo	seo;geo	13	skills/seo-geo/SKILL.md
seo	seo	11	skills/seo/SKILL.md
seo-aeo-best-practices	seo;aeo;best;practices	11	skills/seo-aeo-best-practices/SKILL.md
seo-authority-builder	seo;authority;builder	11	skills/seo-authority-builder/SKILL.md
seo-dataforseo	seo;dataforseo	11	skills/seo-dataforseo/SKILL.md
seo-fundamentals	seo;fundamentals	11	skills/seo-fundamentals/SKILL.md
seo-snippet-hunter	seo;snippet;hunter	11	skills/seo-snippet-hunter/SKILL.md
seo-structure-architect	seo;structure;architect	11	skills/seo-structure-architect/SKILL.md
defuddle	defuddle	7	skills/defuddle/SKILL.md
seo-audit	seo;audit	7	skills/seo-audit/SKILL.md
seo-competitor-pages	seo;competitor;pages	7	skills/seo-competitor-pages/SKILL.md
seo-forensic-incident-response	seo;forensic;incident;response	7	skills/seo-forensic-incident-response/SKILL.md
seo-hreflang	seo;hreflang	7	skills/seo-hreflang/SKILL.md
seo-images	seo;images	7	skills/seo-images/SKILL.md
seo-local	seo;local	7	skills/seo-local/SKILL.md
seo-page	seo;page	7	skills/seo-page/SKILL.md
seo-plan	seo;plan	7	skills/seo-plan/SKILL.md
seo-schema	seo;schema	7	skills/seo-schema/SKILL.md
seo-sitemap	seo;sitemap	7	skills/seo-sitemap/SKILL.md
seo-technical	seo;technical	7	skills/seo-technical/SKILL.md
azure-ai-contentsafety-ts	azure;ai;contentsafety;ts	6	skills/azure-ai-contentsafety-ts/SKILL.md
aso-audit	aso;audit	5	skills/aso-audit/SKILL.md
avoid-ai-writing	avoid;ai;writing	5	skills/avoid-ai-writing/SKILL.md
citation-management	citation;management	5	skills/citation-management/SKILL.md
localization	localization	5	skills/localization/SKILL.md
