"skill_id","triggers","score","src_path"
"churn-prevention","churn;prevention","100","skills/churn-prevention/SKILL.md"
"email-sequence","email;sequence","100","skills/email-sequence/SKILL.md"
"mailchimp-automation","mailchimp;automation","13","skills/mailchimp-automation/SKILL.md"
"analyzing-email-headers-for-phishing-investigation","analyzing;email;headers;for;phishing","6","skills/analyzing-email-headers-for-phishing-investigation/SKILL.md"
"cold-email","cold;email","6","skills/cold-email/SKILL.md"
"detecting-business-email-compromise","detecting;business;email;compromise","6","skills/detecting-business-email-compromise/SKILL.md"
"detecting-business-email-compromise-with-ai","detecting;business;email;compromise;with","6","skills/detecting-business-email-compromise-with-ai/SKILL.md"
"detecting-email-account-compromise","detecting;email;account;compromise","6","skills/detecting-email-account-compromise/SKILL.md"
"detecting-email-forwarding-rules-attack","detecting;email;forwarding;rules;attack","6","skills/detecting-email-forwarding-rules-attack/SKILL.md"
"detecting-qr-code-phishing-with-email-security","detecting;qr;code;phishing;with","6","skills/detecting-qr-code-phishing-with-email-security/SKILL.md"
"email-systems","email;systems","6","skills/email-systems/SKILL.md"
"investigating-phishing-email-incident","investigating;phishing;email;incident","6","skills/investigating-phishing-email-incident/SKILL.md"
"internal-comms","internal;comms","5","skills/internal-comms/SKILL.md"
"klaviyo","klaviyo","5","skills/klaviyo/SKILL.md"
