"skill_id","triggers","score","src_path"
"instagram","instagram","100","skills/instagram/SKILL.md"
"paid-ads","paid;ads","100","skills/paid-ads/SKILL.md"
"download-video","download;video","17","skills/download-video/SKILL.md"
"apify-audience-analysis","apify;audience;analysis","13","skills/apify-audience-analysis/SKILL.md"
"apify-content-analytics","apify;content;analytics","13","skills/apify-content-analytics/SKILL.md"
"social-content","social;content","10","skills/social-content/SKILL.md"
"social-orchestrator","social;orchestrator","10","skills/social-orchestrator/SKILL.md"
"apify-competitor-intelligence","apify;competitor;intelligence","9","skills/apify-competitor-intelligence/SKILL.md"
"apify-influencer-discovery","apify;influencer;discovery","9","skills/apify-influencer-discovery/SKILL.md"
"apify-trend-analysis","apify;trend;analysis","9","skills/apify-trend-analysis/SKILL.md"
"lead-magnet-generator","lead;magnet;generator","9","skills/lead-magnet-generator/SKILL.md"
"x-article-publisher-skill","x;article;publisher;skill","9","skills/x-article-publisher-skill/SKILL.md"
"x-twitter-scraper","x;twitter;scraper","9","skills/x-twitter-scraper/SKILL.md"
"viral-hook-creator","viral;hook;creator","5","skills/viral-hook-creator/SKILL.md"
"x-article-publisher","x;article;publisher","5","skills/x-article-publisher/SKILL.md"
