"skill_id","triggers","score","src_path"
"competitor-tracking","competitor;tracking","100","skills/competitor-tracking/SKILL.md"
"marketing-ideas","marketing;ideas","100","skills/marketing-ideas/SKILL.md"
"market-movers","market;movers","100","skills/market-movers/SKILL.md"
"pricing-strategy","pricing;strategy","100","skills/pricing-strategy/SKILL.md"
"competitor-analysis","competitor;analysis","15","skills/competitor-analysis/SKILL.md"
"product-marketing-context","product;marketing;context","15","skills/product-marketing-context/SKILL.md"
"strategic-planning","strategic;planning","13","skills/strategic-planning/SKILL.md"
"app-marketing-context","app;marketing;context","11","skills/app-marketing-context/SKILL.md"
"competitor-intel","competitor;intel","11","skills/competitor-intel/SKILL.md"
"monetization-strategy","monetization;strategy","10","skills/monetization-strategy/SKILL.md"
"competitive-landscape","competitive;landscape","7","skills/competitive-landscape/SKILL.md"
"positioning-statement","positioning;statement","7","skills/positioning-statement/SKILL.md"
"ua-campaign","ua;campaign","7","skills/ua-campaign/SKILL.md"
