"skill_id","triggers","score","src_path"
"app-clips","app;clips","100","src/aso-skills/skills/app-clips/SKILL.md"
"app-store-changelog","app;store;changelog","100","src/antigravity-awesome-skills/skills/app-store-changelog/SKILL.md"
"crash-analytics","crash;analytics","100","src/aso-skills/skills/crash-analytics/SKILL.md"
"kotlin-coroutines-expert","kotlin;coroutines;expert","100","src/antigravity-awesome-skills/skills/kotlin-coroutines-expert/SKILL.md"
"native-data-fetching","native;data;fetching","100","src/antigravity-awesome-skills/skills/native-data-fetching/SKILL.md"
"macos-spm-app-packaging","macos;spm;app;packaging","17","src/antigravity-awesome-skills/skills/macos-spm-app-packaging/SKILL.md"
"ui-mobile","ui;mobile","15","src/alinaqi-claude-bootstrap/skills/ui-mobile/SKILL.md"
"macos-menubar-tuist-app","macos;menubar;tuist;app","13","src/antigravity-awesome-skills/skills/macos-menubar-tuist-app/SKILL.md"
"android-aso","android;aso","11","src/aso-skills/skills/android-aso/SKILL.md"
"android-kotlin","android;kotlin","11","src/alinaqi-claude-bootstrap/skills/android-kotlin/SKILL.md"
"asc-notarization","asc;notarization","11","src/rudrankriyam-app-store-connect-cli-skills/skills/asc-notarization/SKILL.md"
"earllm-build","earllm;build","11","src/antigravity-awesome-skills/skills/earllm-build/SKILL.md"
"expo-ui-swift-ui","expo;ui;swift;ui","11","src/antigravity-awesome-skills/skills/expo-ui-swift-ui/SKILL.md"
"ios-developer","ios;developer","11","src/antigravity-awesome-skills/skills/ios-developer/SKILL.md"
"mobile-developer","mobile;developer","11","src/antigravity-awesome-skills/skills/mobile-developer/SKILL.md"
"app-store-optimization","app;store;optimization","9","src/antigravity-awesome-skills/skills/app-store-optimization/SKILL.md"
"asc-xcode-build","asc;xcode;build","9","src/rudrankriyam-app-store-connect-cli-skills/skills/asc-xcode-build/SKILL.md"
"conducting-mobile-app-penetration-test","conducting;mobile;app;penetration;test","9","src/mukul975-Anthropic-Cybersecurity-Skills/skills/conducting-mobile-app-penetration-test/SKILL.md"
"expo-tailwind-setup","expo;tailwind;setup","9","src/antigravity-awesome-skills/skills/expo-tailwind-setup/SKILL.md"
"implementing-mobile-application-management","implementing;mobile;application;management","9","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-mobile-application-management/SKILL.md"
"performing-mobile-app-certificate-pinning-bypass","performing;mobile;app;certificate;pinning","9","src/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-mobile-app-certificate-pinning-bypass/SKILL.md"
"react-native","react;native","9","src/alinaqi-claude-bootstrap/skills/react-native/SKILL.md"
"react-native-architecture","react;native;architecture","9","src/antigravity-awesome-skills/skills/react-native-architecture/SKILL.md"
