skill_id	triggers	score	src_path
app-clips	app;clips	100	src/aso-skills/skills/app-clips/SKILL.md
app-store-changelog	app;store;changelog	100	src/antigravity-awesome-skills/skills/app-store-changelog/SKILL.md
crash-analytics	crash;analytics	100	src/aso-skills/skills/crash-analytics/SKILL.md
kotlin-coroutines-expert	kotlin;coroutines;expert	100	src/antigravity-awesome-skills/skills/kotlin-coroutines-expert/SKILL.md
native-data-fetching	native;data;fetching	100	src/antigravity-awesome-skills/skills/native-data-fetching/SKILL.md
macos-spm-app-packaging	macos;spm;app;packaging	17	src/antigravity-awesome-skills/skills/macos-spm-app-packaging/SKILL.md
macos-menubar-tuist-app	macos;menubar;tuist;app	13	src/antigravity-awesome-skills/skills/macos-menubar-tuist-app/SKILL.md
android-aso	android;aso	11	src/aso-skills/skills/android-aso/SKILL.md
earllm-build	earllm;build	11	src/antigravity-awesome-skills/skills/earllm-build/SKILL.md
expo-ui-swift-ui	expo;ui;swift;ui	11	src/antigravity-awesome-skills/skills/expo-ui-swift-ui/SKILL.md
ios-developer	ios;developer	11	src/antigravity-awesome-skills/skills/ios-developer/SKILL.md
mobile-developer	mobile;developer	11	src/antigravity-awesome-skills/skills/mobile-developer/SKILL.md
app-store-optimization	app;store;optimization	9	src/antigravity-awesome-skills/skills/app-store-optimization/SKILL.md
expo-tailwind-setup	expo;tailwind;setup	9	src/antigravity-awesome-skills/skills/expo-tailwind-setup/SKILL.md
react-native-architecture	react;native;architecture	9	src/antigravity-awesome-skills/skills/react-native-architecture/SKILL.md
swiftui-expert-skill	swiftui;expert;skill	9	src/antigravity-awesome-skills/skills/swiftui-expert-skill/SKILL.md
android-jetpack-compose-expert	android;jetpack;compose;expert	7	src/antigravity-awesome-skills/skills/android-jetpack-compose-expert/SKILL.md
development	development	7	src/antigravity-awesome-skills/skills/development/SKILL.md
expo-api-routes	expo;api;routes	7	src/antigravity-awesome-skills/skills/expo-api-routes/SKILL.md
expo-deployment	expo;deployment	7	src/antigravity-awesome-skills/skills/expo-deployment/SKILL.md
expo-dev-client	expo;dev;client	7	src/antigravity-awesome-skills/skills/expo-dev-client/SKILL.md
flutter-expert	flutter;expert	7	src/antigravity-awesome-skills/skills/flutter-expert/SKILL.md
frontend-mobile-development-component-scaffold	frontend;mobile;development;component;scaffold	7	src/antigravity-awesome-skills/skills/frontend-mobile-development-component-scaffold/SKILL.md
mobile-design	mobile;design	7	src/antigravity-awesome-skills/skills/mobile-design/SKILL.md
swift-concurrency-expert	swift;concurrency;expert	7	src/antigravity-awesome-skills/skills/swift-concurrency-expert/SKILL.md
upgrading-expo	upgrading;expo	7	src/antigravity-awesome-skills/skills/upgrading-expo/SKILL.md
web-scraper	web;scraper	5	src/antigravity-awesome-skills/skills/web-scraper/SKILL.md
