"skill_id","triggers","score","src_path"
"makepad-animation","makepad;animation","100","src/antigravity-awesome-skills/skills/makepad-animation/SKILL.md"
"makepad-basics","makepad;basics","100","src/antigravity-awesome-skills/skills/makepad-basics/SKILL.md"
"makepad-deployment","makepad;deployment","100","src/antigravity-awesome-skills/skills/makepad-deployment/SKILL.md"
"makepad-dsl","makepad;dsl","100","src/antigravity-awesome-skills/skills/makepad-dsl/SKILL.md"
"makepad-event-action","makepad;event;action","100","src/antigravity-awesome-skills/skills/makepad-event-action/SKILL.md"
"makepad-font","makepad;font","100","src/antigravity-awesome-skills/skills/makepad-font/SKILL.md"
"makepad-layout","makepad;layout","100","src/antigravity-awesome-skills/skills/makepad-layout/SKILL.md"
"makepad-platform","makepad;platform","100","src/antigravity-awesome-skills/skills/makepad-platform/SKILL.md"
"makepad-reference","makepad;reference","100","src/antigravity-awesome-skills/skills/makepad-reference/SKILL.md"
"makepad-shaders","makepad;shaders","100","src/antigravity-awesome-skills/skills/makepad-shaders/SKILL.md"
"makepad-splash","makepad;splash","100","src/antigravity-awesome-skills/skills/makepad-splash/SKILL.md"
"makepad-widgets","makepad;widgets","100","src/antigravity-awesome-skills/skills/makepad-widgets/SKILL.md"
"systems-programming-rust-project","systems;programming;rust;project","16","src/antigravity-awesome-skills/skills/systems-programming-rust-project/SKILL.md"
"azure-cosmos-rust","azure;cosmos;rust","12","src/antigravity-awesome-skills/skills/azure-cosmos-rust/SKILL.md"
"azure-eventhub-rust","azure;eventhub;rust","12","src/antigravity-awesome-skills/skills/azure-eventhub-rust/SKILL.md"
"azure-identity-rust","azure;identity;rust","12","src/antigravity-awesome-skills/skills/azure-identity-rust/SKILL.md"
"azure-keyvault-certificates-rust","azure;keyvault;certificates;rust","12","src/antigravity-awesome-skills/skills/azure-keyvault-certificates-rust/SKILL.md"
"azure-keyvault-keys-rust","azure;keyvault;keys;rust","12","src/antigravity-awesome-skills/skills/azure-keyvault-keys-rust/SKILL.md"
"azure-keyvault-secrets-rust","azure;keyvault;secrets;rust","12","src/antigravity-awesome-skills/skills/azure-keyvault-secrets-rust/SKILL.md"
"azure-storage-blob-rust","azure;storage;blob;rust","12","src/antigravity-awesome-skills/skills/azure-storage-blob-rust/SKILL.md"
"rust-async-patterns","rust;async;patterns","12","src/antigravity-awesome-skills/skills/rust-async-patterns/SKILL.md"
"rust-pro","rust;pro","12","src/antigravity-awesome-skills/skills/rust-pro/SKILL.md"
"bevy-ecs-expert","bevy;ecs;expert","11","src/antigravity-awesome-skills/skills/bevy-ecs-expert/SKILL.md"
"memory-safety-patterns","memory;safety;patterns","7","src/antigravity-awesome-skills/skills/memory-safety-patterns/SKILL.md"
"robius-app-architecture","robius;app;architecture","7","src/antigravity-awesome-skills/skills/robius-app-architecture/SKILL.md"
"robius-event-action","robius;event;action","7","src/antigravity-awesome-skills/skills/robius-event-action/SKILL.md"
"robius-matrix-integration","robius;matrix;integration","7","src/antigravity-awesome-skills/skills/robius-matrix-integration/SKILL.md"
"robius-state-management","robius;state;management","7","src/antigravity-awesome-skills/skills/robius-state-management/SKILL.md"
"robius-widget-patterns","robius;widget;patterns","7","src/antigravity-awesome-skills/skills/robius-widget-patterns/SKILL.md"
"zeroize-audit","zeroize;audit","7","src/antigravity-awesome-skills/skills/zeroize-audit/SKILL.md"
"mtls-configuration","mtls;configuration","5","src/antigravity-awesome-skills/skills/mtls-configuration/SKILL.md"
