"skill_id","triggers","score","src_path"
"blockchain-developer","blockchain;developer","100","skills/blockchain-developer/SKILL.md"
"bullmq-specialist","bullmq;specialist","100","skills/bullmq-specialist/SKILL.md"
"dbos-typescript","dbos;typescript","100","skills/dbos-typescript/SKILL.md"
"fp-data-transforms","fp;data;transforms","100","skills/fp-data-transforms/SKILL.md"
"inngest","inngest","100","skills/inngest/SKILL.md"
"javascript-mastery","javascript;mastery","100","skills/javascript-mastery/SKILL.md"
"javascript-pro","javascript;pro","100","skills/javascript-pro/SKILL.md"
"modern-javascript-patterns","modern;javascript;patterns","100","skills/modern-javascript-patterns/SKILL.md"
"n8n-code-javascript","n8n;code;javascript","100","skills/n8n-code-javascript/SKILL.md"
"trigger-dev","trigger;dev","100","skills/trigger-dev/SKILL.md"
"javascript-typescript-typescript-scaffold","javascript;typescript;typescript;scaffold","19","skills/javascript-typescript-typescript-scaffold/SKILL.md"
"typescript-advanced-types","typescript;advanced;types","18","skills/typescript-advanced-types/SKILL.md"
"typescript","typescript","16","skills/typescript/SKILL.md"
"typescript-magician","typescript;magician","16","skills/typescript-magician/SKILL.md"
"typescript-pro","typescript;pro","16","skills/typescript-pro/SKILL.md"
"node","node","15","skills/node/SKILL.md"
"tinybird-typescript-sdk-guidelines","tinybird;typescript;sdk;guidelines","14","skills/tinybird-typescript-sdk-guidelines/SKILL.md"
"m365-agents-ts","m365;agents;ts","11","skills/m365-agents-ts/SKILL.md"
"react-flow-node-ts","react;flow;node;ts","11","skills/react-flow-node-ts/SKILL.md"
"sanity-best-practices","sanity;best;practices","11","skills/sanity-best-practices/SKILL.md"
"typescript-expert","typescript;expert","11","skills/typescript-expert/SKILL.md"
"zustand-store-ts","zustand;store;ts","11","skills/zustand-store-ts/SKILL.md"
"cc-skill-coding-standards","cc;skill;coding;standards","10","skills/cc-skill-coding-standards/SKILL.md"
"linting-neostandard-eslint9","linting;neostandard;eslint9","10","skills/linting-neostandard-eslint9/SKILL.md"
"drizzle-orm-expert","drizzle;orm;expert","9","skills/drizzle-orm-expert/SKILL.md"
"fp-refactor","fp;refactor","9","skills/fp-refactor/SKILL.md"
"fp-ts-errors","fp;ts;errors","9","skills/fp-ts-errors/SKILL.md"
"fp-ts-pragmatic","fp;ts;pragmatic","9","skills/fp-ts-pragmatic/SKILL.md"
"angular","angular","7","skills/angular/SKILL.md"
"angular-best-practices","angular;best;practices","7","skills/angular-best-practices/SKILL.md"
"angular-migration","angular;migration","7","skills/angular-migration/SKILL.md"
"angular-state-management","angular;state;management","7","skills/angular-state-management/SKILL.md"
"convex","convex","7","skills/convex/SKILL.md"
"electron-development","electron;development","7","skills/electron-development/SKILL.md"
"netlify-functions","netlify;functions","7","skills/netlify-functions/SKILL.md"
"zod-validation-expert","zod;validation;expert","7","skills/zod-validation-expert/SKILL.md"
"azure-ai-voicelive-ts","azure;ai;voicelive;ts","6","skills/azure-ai-voicelive-ts/SKILL.md"
"azure-cosmos-ts","azure;cosmos;ts","6","skills/azure-cosmos-ts/SKILL.md"
"azure-postgres-ts","azure;postgres;ts","6","skills/azure-postgres-ts/SKILL.md"
"azure-storage-blob-ts","azure;storage;blob;ts","6","skills/azure-storage-blob-ts/SKILL.md"
"azure-storage-file-share-ts","azure;storage;file;share;ts","6","skills/azure-storage-file-share-ts/SKILL.md"
"azure-storage-queue-ts","azure;storage;queue;ts","6","skills/azure-storage-queue-ts/SKILL.md"
"bun-development","bun;development","6","skills/bun-development/SKILL.md"
