"skill_id","triggers","score","src_path"
"active-directory-attacks","active;directory;attacks","100","src/antigravity-awesome-skills/skills/active-directory-attacks/SKILL.md"
"attack-tree-construction","attack;tree;construction","100","src/antigravity-awesome-skills/skills/attack-tree-construction/SKILL.md"
"aws-penetration-testing","aws;penetration;testing","100","src/antigravity-awesome-skills/skills/aws-penetration-testing/SKILL.md"
"codebase-audit-pre-push","codebase;audit;pre;push","100","src/antigravity-awesome-skills/skills/codebase-audit-pre-push/SKILL.md"
"cred-omega","cred;omega","100","src/antigravity-awesome-skills/skills/cred-omega/SKILL.md"
"defi-protocol-templates","defi;protocol;templates","100","src/antigravity-awesome-skills/skills/defi-protocol-templates/SKILL.md"
"ethical-hacking-methodology","ethical;hacking;methodology","100","src/antigravity-awesome-skills/skills/ethical-hacking-methodology/SKILL.md"
"ffuf-web-fuzzing","ffuf;web;fuzzing","100","src/antigravity-awesome-skills/skills/ffuf-web-fuzzing/SKILL.md"
"gha-security-review","gha;security;review","100","src/antigravity-awesome-skills/skills/gha-security-review/SKILL.md"
"html-injection-testing","html;injection;testing","100","src/antigravity-awesome-skills/skills/html-injection-testing/SKILL.md"
"idor-testing","idor;testing","100","src/antigravity-awesome-skills/skills/idor-testing/SKILL.md"
"lightning-architecture-review","lightning;architecture;review","100","src/antigravity-awesome-skills/skills/lightning-architecture-review/SKILL.md"
"network-engineer","network;engineer","100","src/antigravity-awesome-skills/skills/network-engineer/SKILL.md"
"pentest-commands","pentest;commands","100","src/antigravity-awesome-skills/skills/pentest-commands/SKILL.md"
"privilege-escalation-methods","privilege;escalation;methods","100","src/antigravity-awesome-skills/skills/privilege-escalation-methods/SKILL.md"
"sast-configuration","sast;configuration","100","src/antigravity-awesome-skills/skills/sast-configuration/SKILL.md"
"secrets-management","secrets;management","100","src/antigravity-awesome-skills/skills/secrets-management/SKILL.md"
"shodan-reconnaissance","shodan;reconnaissance","100","src/antigravity-awesome-skills/skills/shodan-reconnaissance/SKILL.md"
"varlock","varlock","100","src/antigravity-awesome-skills/skills/varlock/SKILL.md"
"varlock-claude-skill","varlock;claude;skill","100","src/antigravity-awesome-skills/skills/varlock-claude-skill/SKILL.md"
"windows-privilege-escalation","windows;privilege;escalation","100","src/antigravity-awesome-skills/skills/windows-privilege-escalation/SKILL.md"
"wordpress-penetration-testing","wordpress;penetration;testing","100","src/antigravity-awesome-skills/skills/wordpress-penetration-testing/SKILL.md"
"oauth","oauth","27","src/mcollina-skills/skills/oauth/SKILL.md"
"performing-ssl-tls-inspection-configuration","performing;ssl;tls;inspection;configuration","23","src/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-ssl-tls-inspection-configuration/SKILL.md"
"api-security-best-practices","api;security;best;practices","19","src/antigravity-awesome-skills/skills/api-security-best-practices/SKILL.md"
"implementing-jwt-signing-and-verification","implementing;jwt;signing;and;verification","19","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-jwt-signing-and-verification/SKILL.md"
"api-security-testing","api;security;testing","15","src/antigravity-awesome-skills/skills/api-security-testing/SKILL.md"
"backend-security-coder","backend;security;coder","15","src/antigravity-awesome-skills/skills/backend-security-coder/SKILL.md"
"cc-skill-security-review","cc;skill;security;review","15","src/antigravity-awesome-skills/skills/cc-skill-security-review/SKILL.md"
"codebase-cleanup-deps-audit","codebase;cleanup;deps;audit","15","src/antigravity-awesome-skills/skills/codebase-cleanup-deps-audit/SKILL.md"
"configuring-oauth2-authorization-flow","configuring;oauth2;authorization;flow","15","src/mukul975-Anthropic-Cybersecurity-Skills/skills/configuring-oauth2-authorization-flow/SKILL.md"
"configuring-tls-1-3-for-secure-communications","configuring;tls;1;3;for","15","src/mukul975-Anthropic-Cybersecurity-Skills/skills/configuring-tls-1-3-for-secure-communications/SKILL.md"
"dependency-management-deps-audit","dependency;management;deps;audit","15","src/antigravity-awesome-skills/skills/dependency-management-deps-audit/SKILL.md"
"exploiting-oauth-misconfiguration","exploiting;oauth;misconfiguration","15","src/mukul975-Anthropic-Cybersecurity-Skills/skills/exploiting-oauth-misconfiguration/SKILL.md"
"implementing-proofpoint-email-security-gateway","implementing;proofpoint;email;security;gateway","15","src/mukul975-Anthropic-Cybersecurity-Skills/skills/implementing-proofpoint-email-security-gateway/SKILL.md"
"pci-compliance","pci;compliance","15","src/antigravity-awesome-skills/skills/pci-compliance/SKILL.md"
"performing-kubernetes-etcd-security-assessment","performing;kubernetes;etcd;security;assessment","15","src/mukul975-Anthropic-Cybersecurity-Skills/skills/performing-kubernetes-etcd-security-assessment/SKILL.md"
"scanning-tools","scanning;tools","15","src/antigravity-awesome-skills/skills/scanning-tools/SKILL.md"
"solidity-security","solidity;security","15","src/antigravity-awesome-skills/skills/solidity-security/SKILL.md"
"testing-jwt-token-security","testing;jwt;token;security","15","src/mukul975-Anthropic-Cybersecurity-Skills/skills/testing-jwt-token-security/SKILL.md"
"exploiting-websocket-vulnerabilities","exploiting;websocket;vulnerabilities","13","src/mukul975-Anthropic-Cybersecurity-Skills/skills/exploiting-websocket-vulnerabilities/SKILL.md"
"red-team-tools","red;team;tools","13","src/antigravity-awesome-skills/skills/red-team-tools/SKILL.md"
"azure-security-keyvault-keys-dotnet","azure;security;keyvault;keys;dotnet","11","src/antigravity-awesome-skills/skills/azure-security-keyvault-keys-dotnet/SKILL.md"
