skill_id	triggers	score	src_path
active-directory-attacks	active;directory;attacks	100	skills/active-directory-attacks/SKILL.md
attack-tree-construction	attack;tree;construction	100	skills/attack-tree-construction/SKILL.md
aws-penetration-testing	aws;penetration;testing	100	skills/aws-penetration-testing/SKILL.md
codebase-audit-pre-push	codebase;audit;pre;push	100	skills/codebase-audit-pre-push/SKILL.md
cred-omega	cred;omega	100	skills/cred-omega/SKILL.md
defi-protocol-templates	defi;protocol;templates	100	skills/defi-protocol-templates/SKILL.md
ethical-hacking-methodology	ethical;hacking;methodology	100	skills/ethical-hacking-methodology/SKILL.md
ffuf-web-fuzzing	ffuf;web;fuzzing	100	skills/ffuf-web-fuzzing/SKILL.md
gha-security-review	gha;security;review	100	skills/gha-security-review/SKILL.md
html-injection-testing	html;injection;testing	100	skills/html-injection-testing/SKILL.md
idor-testing	idor;testing	100	skills/idor-testing/SKILL.md
lightning-architecture-review	lightning;architecture;review	100	skills/lightning-architecture-review/SKILL.md
network-engineer	network;engineer	100	skills/network-engineer/SKILL.md
pentest-commands	pentest;commands	100	skills/pentest-commands/SKILL.md
privilege-escalation-methods	privilege;escalation;methods	100	skills/privilege-escalation-methods/SKILL.md
sast-configuration	sast;configuration	100	skills/sast-configuration/SKILL.md
secrets-management	secrets;management	100	skills/secrets-management/SKILL.md
shodan-reconnaissance	shodan;reconnaissance	100	skills/shodan-reconnaissance/SKILL.md
varlock	varlock	100	skills/varlock/SKILL.md
varlock-claude-skill	varlock;claude;skill	100	skills/varlock-claude-skill/SKILL.md
windows-privilege-escalation	windows;privilege;escalation	100	skills/windows-privilege-escalation/SKILL.md
wordpress-penetration-testing	wordpress;penetration;testing	100	skills/wordpress-penetration-testing/SKILL.md
api-security-best-practices	api;security;best;practices	19	skills/api-security-best-practices/SKILL.md
api-security-testing	api;security;testing	15	skills/api-security-testing/SKILL.md
backend-security-coder	backend;security;coder	15	skills/backend-security-coder/SKILL.md
cc-skill-security-review	cc;skill;security;review	15	skills/cc-skill-security-review/SKILL.md
codebase-cleanup-deps-audit	codebase;cleanup;deps;audit	15	skills/codebase-cleanup-deps-audit/SKILL.md
dependency-management-deps-audit	dependency;management;deps;audit	15	skills/dependency-management-deps-audit/SKILL.md
pci-compliance	pci;compliance	15	skills/pci-compliance/SKILL.md
scanning-tools	scanning;tools	15	skills/scanning-tools/SKILL.md
solidity-security	solidity;security	15	skills/solidity-security/SKILL.md
red-team-tools	red;team;tools	13	skills/red-team-tools/SKILL.md
azure-security-keyvault-keys-dotnet	azure;security;keyvault;keys;dotnet	11	skills/azure-security-keyvault-keys-dotnet/SKILL.md
frontend-mobile-security-xss-scan	frontend;mobile;security;xss;scan	11	skills/frontend-mobile-security-xss-scan/SKILL.md
frontend-security-coder	frontend;security;coder	11	skills/frontend-security-coder/SKILL.md
mobile-security-coder	mobile;security;coder	11	skills/mobile-security-coder/SKILL.md
security-audit	security;audit	11	skills/security-audit/SKILL.md
security-auditor	security;auditor	11	skills/security-auditor/SKILL.md
security-scanning-security-dependencies	security;scanning;security;dependencies	11	skills/security-scanning-security-dependencies/SKILL.md
security-scanning-security-hardening	security;scanning;security;hardening	11	skills/security-scanning-security-hardening/SKILL.md
security-scanning-security-sast	security;scanning;security;sast	11	skills/security-scanning-security-sast/SKILL.md
smtp-penetration-testing	smtp;penetration;testing	11	skills/smtp-penetration-testing/SKILL.md
sql-injection-testing	sql;injection;testing	11	skills/sql-injection-testing/SKILL.md
ssh-penetration-testing	ssh;penetration;testing	11	skills/ssh-penetration-testing/SKILL.md
